id,nombre,especie,id_comuna,peso_kg,edad,fecha_nacimiento
2783,Kenya,Cisne,123,14.6,18,2006/8
2784,Velia,Erizo de tierra,92,0.615,6,2017/1
2785,Cleone,Canario,218,0.0114,36,1987/2
2786,Gerard,Escorpión,318,0.0725,92,1932/12
2787,Verda,Elefante,235,5350.0,77,1947/7
2788,Alberta,Mariposa monarca,202,0.00252,10,2014/11
2789,Chadd,Lobo,196,32.7,101,1923/12
2790,Meryl,Estrella espinosa,2,0.3,85,1938/2
2791,Tyesha,Tiburón martillo,198,600.0,23,2001/7
2792,Kennth,Atún,279,157.5,74,1950/11
2793,Mahalie,Escarabajo rinoceronte,47,0.0266,73,1950/1
2794,Mignon,Caracol marino,65,0.0535,18,2006/9
2795,Jaden,Oso negro,252,230.4,72,1952/6
2796,Marcelle,Caracol de tierra,32,0.01,4,2020/7
2797,Hali,Gallina,281,3.25,69,1955/6
2798,Flavia,Llama,329,136.5,66,1958/10
2799,Migdalia,Anguila,135,4.3,95,1929/11
2800,Ervin,Nutria marina,189,58.5,13,2011/10
2801,Nannette,Carpa,145,4.24,65,1959/12
2802,Marian,Tejón,90,12.24,35,1989/9
2803,Leitha,Langosta espinosa,8,1.72,23,2000/1
2804,Carrol,Gacela,223,60.0,28,1995/1
2805,Marisa,Burro,179,204.0,59,1964/4
2806,Taliyah,Erizo de mar,39,0.595,88,1936/11
2807,Jamar,Morsa,200,1197.0,64,1960/5
2808,Jenifer,Dorado,312,10.8,7,2017/9
2809,Janette,Estrella espinosa,77,0.108,26,1998/11
2810,Callum,Perro,113,33.0,40,1984/12
2811,Michael,Castor,204,20.25,76,1947/1
2812,Lucio,Gecko,193,0.08,100,1924/12
2813,Maria,Salmón,101,5.7,43,1981/5
2814,Kristina,Caracol de tierra,119,0.0065,13,2011/8
2815,Beatrix,Pez gato,83,1.0,11,2013/10
2816,Hermine,Ciervo almizclero,334,48.8,38,1985/2
2817,James,Wombat,132,37.2,90,1934/8
2818,Elby,Pingüino emperador,26,25.2,90,1933/4
2819,Kimberlie,Wallaby,300,10.8,24,2000/11
2820,Mechelle,Langostino,88,0.296,93,1931/10
2821,Ott,Antílope saiga,321,53.5,34,1990/5
2822,Joselyn,Pez dorado,221,0.086,8,2015/4
2823,Gilberto,Delfín,198,116.0,32,1991/3
2824,Hanna,Atún,72,290.0,44,1980/6
2825,Nakisha,Pez halcón,18,0.32,34,1989/2
2826,Denisse,Águila,181,6.48,66,1958/11
2827,Cara,Salamandra,206,0.058,94,1929/1
2828,Steven,Barracuda,61,6.4,78,1946/5
2829,Aryan,Lobo,52,20.7,67,1957/6
2830,Ashlee,Lémur,84,1.28,91,1933/7
2831,Dayne,Nutria gigante,263,19.2,31,1993/5
2832,Tomika,Comadreja,234,0.186,27,1997/12
2833,Emely,Nutria marina,172,55.8,83,1941/9
2834,Vicky,Alce,69,304.0,7,2016/2
2835,Jerrilyn,Estrella de mar,308,0.18,83,1941/11
2836,Minta,Tiburón,286,325.0,9,2015/10
2837,Nicholaus,Erizo de tierra,102,0.33,84,1940/9
2838,Margret,Caracol marino,134,0.0375,74,1950/7
2839,Jeremey,Armadillo gigante,287,28.5,21,2002/4
2840,Anneliese,Estrella espinosa,136,0.138,28,1996/6
2841,Elias,Pez gato,281,2.16,71,1953/9
2842,Zayne,Comadreja,308,0.236,66,1958/10
2843,Nana,Caballo,109,595.0,15,2009/9
2844,Cleda,Estrella de mar,244,0.226,35,1989/7
2845,Leonor,Leopardo marino,333,243.0,83,1941/10
2846,Oakley,Orca,135,3300.0,84,1940/8
2847,Adin,Estrella de mar,110,0.14,92,1932/10
2848,Tegan,Suricata,319,1.545,44,1980/12
2849,Melisa,Morsa,19,675.0,30,1993/2
2850,Beadie,Tortuga de caja,67,0.82,48,1976/8
2851,Birdella,León,27,121.6,52,1971/4
2852,Summer,Camarón,256,0.0125,45,1979/10
2853,Rosanne,Atún,312,362.5,62,1962/8
2854,Durward,Rinoceronte,22,1978.0,63,1961/6
2855,Wirt,Manta,336,1490.0,13,2011/5
2856,Sheryll,Águila,267,8.52,19,2005/7
2857,Sid,Guepardo,232,40.2,39,1985/5
2858,Johnson,Erizo de mar,253,0.68,57,1966/1
2859,Tyrik,Estrella espinosa,259,0.176,87,1936/3
2860,Racheal,Oso negro,202,99.0,73,1951/5
2861,Susana,Suricata,8,2.235,84,1940/8
2862,Dulce,Pavo real,336,3.4,35,1989/8
2863,Lovina,Cebra,138,666.0,26,1998/12
2864,Jett,Cigarra,221,0.0011,36,1987/1
2865,Valencia,Mosca,218,6e-05,39,1985/11
2866,Laverna,Gorila,13,95.4,41,1982/3
2867,Amalia,Caracol de agua dulce,161,0.0162,95,1929/6
2868,Marilyn,Camello,47,450.0,0,2023/1
2869,Venus,Pavo real,163,4.95,31,1993/12
2870,Gwyneth,Estrella espinosa,311,0.174,19,2005/8
2871,Jonatan,Nutria de río,205,13.2,11,2013/10
2872,Elana,Narval,268,1395.0,48,1976/5
2873,Katina,Alce,166,204.0,100,1924/7
2874,Maureen,Águila calva,22,3.12,82,1942/12
2875,Emerson,Burro,333,248.0,2,2021/3
2876,Liana,Erizo,79,0.54,97,1927/10
2877,Cruz,Lobo,83,39.0,33,1991/10
2878,Tenika,Estrella de mar,224,0.152,66,1958/6
2879,Rogers,Bisonte,76,584.0,65,1959/6
2880,Jill,Pez gato,175,1.84,30,1994/5
2881,Claude,Kanguro rojo,9,72.6,3,2021/8
2882,Ham,Tortuga de tierra,194,149.0,30,1993/1
2883,Vonda,Cangrejo yeti,33,2.9,15,2009/6
2884,Norbert,Pez gato,10,2.3,99,1925/10
2885,Archie,Caracol marino,215,0.0515,23,2001/5
2886,Myrtice,Tarántula Goliat,107,0.202,11,2012/3
2887,Gladis,Suricata,306,1.125,8,2016/10
2888,Hermina,Lobo,144,31.5,67,1957/5
2889,Gilmore,Aye-aye,248,1.66,21,2002/1
2890,Carlee,Burro,178,112.0,65,1959/5
2891,Serena,Narval,52,780.0,33,1991/11
2892,Catrina,Escarabajo joya,308,0.0262,21,2002/3
2893,Lige,Foca,238,43.2,75,1949/10
2894,Margaretha,Serpiente,254,4.13,84,1939/1
2895,Lesa,Perro,198,26.0,10,2014/12
2896,Rita,Gato,165,4.92,66,1958/5
2897,Samual,Pez payaso,143,0.0232,5,2019/8
2898,Nyasia,Ñu,123,136.8,29,1995/11
2899,Owens,Tortuga de caja,89,0.84,103,1921/5
2900,Mervin,Pez gato,326,2.88,104,1920/5
2901,Clementina,Pulpo,85,4.2,71,1952/1
2902,Sharee,Delfín,166,208.0,86,1938/9
2903,Beverlee,Berrendo,2,47.6,96,1928/10
2904,Ellamae,Luciérnaga,293,5e-05,65,1959/10
2905,Kiersten,Mantarraya,32,1430.0,102,1921/2
2906,Carey,Cangrejo yeti,85,6.4,47,1977/10
2907,Kiya,Langosta gigante,219,5.3,40,1983/4
2908,Bethany,Pez mariposa,38,0.13,46,1978/7
2909,Dani,Tiburón,177,275.0,75,1949/7
2910,Weston,Caballito de mar,91,0.00146,53,1970/3
2911,Asia,Pez león,164,0.97,43,1980/4
2912,Katelin,Mosca,81,0.00013,72,1952/9
2913,Nevada,Wallaby,80,27.8,83,1941/7
2914,Shelvie,Serpiente,280,3.57,103,1921/8
2915,Bynum,Caracol de jardín,131,0.072,13,2010/4
2916,Bedford,Renacuajo,321,0.00087,30,1993/4
2917,Petra,Mariposa,116,0.0076,30,1994/8
2918,Elyssa,Langostino,89,0.236,33,1990/4
2919,Dario,Nutria gigante,253,21.3,57,1966/2
2920,Yaakov,Mariposa,33,0.0095,45,1978/4
2921,Linn,Pez globo,194,0.81,91,1933/12
2922,Alexandro,Tejón,263,6.48,6,2018/11
2923,Myer,Erizo de mar,140,0.605,43,1981/5
2924,Linn,Camarón,5,0.0073,18,2005/4
2925,Breann,Piraña,322,0.72,73,1950/4
2926,Fredric,Ocelote,294,10.92,68,1956/9
2927,Philomena,Pez globo,26,1.18,19,2004/2
2928,Kasen,Rinoceronte,342,2162.0,44,1980/9
2929,Selmer,Erizo de mar,133,0.725,30,1994/7
2930,Phyllis,Medusa,80,0.91,27,1996/1
2931,Octavius,Estrella de mar,193,0.188,34,1989/1
2932,Doretta,Luciérnaga,310,7e-05,60,1964/8
2933,Council,Manta,48,1390.0,42,1982/12
2934,Doll,Wombat,61,44.7,28,1995/2
2935,Minta,Elefante,81,4350.0,57,1966/2
2936,Marely,Tiburón,74,440.0,1,2023/12
2937,Jacob,Manatí de tierra,41,231.0,76,1948/6
2938,Manley,Rinoceronte,239,2852.0,99,1925/12
2939,Pryor,Rinoceronte,149,3427.0,65,1959/11
2940,Fernando,Erizo de mar,17,0.645,81,1942/1
2941,Johnny,Koala,330,14.42,13,2010/3
2942,Lovell,Rinoceronte,205,2116.0,86,1938/7
2943,Reva,Pez gato,263,1.34,21,2003/9
2944,Ibrahim,Atún,118,280.0,21,2003/7
2945,Ansel,Rinoceronte,17,2783.0,55,1969/7
2946,Callie,Estrella de mar,195,0.268,33,1990/3
2947,Ivana,Pato,187,1.455,38,1985/1
2948,Nichole,Esturión,271,74.0,40,1984/11
2949,Bobby,Berrendo,229,24.8,24,2000/7
2950,Chas,Escarabajo Hércules,18,0.103,84,1940/9
2951,Aurelia,Cebra,60,292.5,71,1952/2
2952,Mack,Rana,251,0.381,78,1946/12
2953,Livia,Murciélago,124,0.0255,31,1993/12
2954,Selah,Comadreja,5,0.112,18,2006/6
2955,Janay,Delfín,19,292.0,34,1990/5
2956,Kourtney,Caballo,308,640.0,60,1964/9
2957,Delphine,Pangolín,304,15.12,2,2022/12
2958,Emit,Tortuga de tierra,310,57.0,24,2000/11
2959,Lutie,Coati,170,4.08,84,1940/10
2960,Narcissus,Cangrejo yeti,42,3.05,56,1968/8
2961,Britny,Saltamontes,128,0.001,32,1992/6
2962,Dorthey,Cisne,109,7.2,88,1935/1
2963,Ashely,Numbat,157,0.204,23,2001/7
2964,Simpson,Oso polar,147,585.0,60,1964/8
2965,Akira,Tortuga de tierra,75,102.0,94,1930/9
2966,Loula,Estrella de mar,249,0.238,37,1986/1
2967,Exie,Estrella de mar,218,0.262,9,2015/8
2968,Jorge,Numbat,283,0.356,59,1965/9
2969,Portia,Comadreja,194,0.284,76,1948/10
2970,Fleda,Escarabajo joya,276,0.0298,96,1928/9
2971,Winnie,Escorpión,301,0.042,4,2020/12
2972,Lizbeth,Koala,329,16.52,70,1954/9
2973,Reubin,Oso polar,69,274.5,104,1920/6
2974,Mahalie,Rana,175,0.159,67,1957/12
2975,Chelsy,Nutria marina,335,23.4,102,1921/2
2976,Cris,Langosta gigante,137,4.2,51,1972/4
2977,Amelia,Pez loro,112,0.146,15,2009/11
2978,Nautica,Mariposa monarca,184,0.00196,89,1935/8
2979,Fannye,Wallaby,106,19.6,75,1949/9
2980,Kerri,Erizo de tierra,198,0.31,85,1939/10
2981,Adrianna,Cangrejo yeti,186,3.6,5,2019/7
2982,Isaak,Águila calva,63,4.02,27,1997/5
2983,Tamela,Caracol de agua dulce,320,0.0303,35,1988/2
2984,Cyril,Estrella de mar,246,0.64,98,1926/12
2985,Lorne,Iguana,206,6.5,8,2015/4
2986,Amanda,Ñandú,272,33.5,72,1952/7
2987,Latanya,Kanguro rojo,128,44.55,49,1975/8
2988,Lyndon,Mariposa Morpho,300,0.0188,15,2009/6
2989,Dennie,Águila calva,216,5.04,70,1954/7
2990,Albina,Narval,39,795.0,47,1976/4
2991,Jaquan,Cangrejo de mar,164,1.31,46,1978/5
2992,Heber,Manatí de tierra,309,304.5,79,1944/3
2993,Velva,Armadillo,215,9.52,69,1955/11
2994,Manie,Escarabajo rinoceronte,74,0.0242,40,1984/8
2995,Ione,Foca,339,43.2,23,2000/4
2996,Marley,Zorro volador,251,0.48,7,2017/6
2997,Kobe,Erizo de tierra,152,0.66,56,1967/3
2998,Frances,Perro,78,17.75,68,1956/11
2999,Nicholas,Pez globo,255,1.47,47,1977/11
3000,Dennis,Pez cirujano,218,0.52,103,1921/7
3001,Ryker,Mosca,297,8e-05,66,1958/10
3002,Venice,Tigre,191,204.6,24,2000/11
3003,Asher,Tigre,164,145.2,21,2003/5
3004,Adolf,Erizo de tierra,326,0.49,95,1929/10
3005,Helma,Lobo,299,17.1,79,1945/9
3006,Raleigh,Bagre,252,1.52,56,1967/4
3007,Brodie,Águila calva,184,4.68,96,1928/6
3008,Caryl,Langosta gigante,186,3.05,5,2019/10
3009,Bush,Iguana,218,4.45,63,1961/11
3010,Lina,Erizo de tierra,201,0.4,27,1997/12
3011,Fannie,Cocodrilo de agua salada,90,860.0,39,1985/10
3012,Harry,Pez mariposa,262,0.069,87,1937/10
3013,Johanna,Luciérnaga,201,8e-05,47,1977/10
3014,Hale,Ballena piloto,85,7120.0,28,1996/11
3015,Loma,Estrella de mar,233,0.24,92,1932/6
3016,Prudie,Ñeque,110,69.3,58,1965/1
3017,Bryon,Orca,94,7860.0,70,1954/7
3018,Kimberlie,Escarabajo joya,154,0.013,46,1977/1
3019,Makai,Abeja,296,0.078,60,1964/12
3020,Shira,Lobo,237,41.4,87,1937/8
3021,Dorman,Cocodrilo del Nilo,147,675.0,44,1980/10
3022,Homer,Carpa,8,2.04,102,1921/1
3023,Jair,Avestruz,276,171.0,13,2011/7
3024,Kirsten,Pez sierra,86,345.0,2,2022/12
3025,Ruben,Wombat,128,20.4,87,1936/3
3026,Amarion,Camarón,57,0.0121,95,1928/3
3027,Jordan,Mariposa monarca,269,0.00242,86,1937/4
3028,Brynlee,Delfín,22,212.0,46,1978/8
3029,Frieda,Guepardo,124,35.4,28,1996/12
3030,Bruno,Caballito de mar,182,0.0595,101,1923/12
3031,Samantha,Gorila,119,264.6,50,1974/9
3032,Maleah,Bagre,214,2.86,23,2001/9
3033,Jalyn,Pez ángel,103,0.204,5,2018/1
3034,Nathaniel,Araña,196,0.00264,43,1981/10
3035,Shardae,Estrella de mar,68,0.675,58,1965/3
3036,Doretha,Erizo de mar,7,0.625,102,1922/10
3037,Sudie,Cerdo,283,72.6,20,2003/3
3038,Mac,Pez sierra,231,156.0,30,1994/7
3039,Agustin,Tiburón martillo,59,308.0,93,1931/6
3040,Lovisa,Pez sierra,341,201.0,38,1986/8
3041,Amelie,Berrendo,156,35.2,41,1983/12
3042,Corrine,Rana,78,0.306,104,1920/7
3043,Tracey,Cangrejo de mar,41,0.91,49,1975/12
3044,Guthrie,Caballito de mar,216,0.0735,40,1984/6
3045,Plummer,Alce,53,240.0,48,1976/6
3046,Shenna,Salmón,231,14.6,54,1970/6
3047,Lesia,Aye-aye,179,2.78,82,1941/3
3048,Jefferson,Araña cangrejo,333,0.0206,30,1993/1
3049,Sherilyn,Piraña,91,0.8,63,1960/2
3050,Gena,Hipopótamo,238,2040.0,70,1953/3
3051,Josephine,Tiburón blanco,91,1504.0,35,1988/1
3052,Lorin,Tarántula Goliat,59,0.276,94,1930/9
3053,Buelah,Cangrejo yeti,88,5.5,3,2020/2
3054,Ovid,Tortuga,312,7.84,101,1922/2
3055,Phil,Tortuga,1,5.6,26,1997/1
3056,Kimberlee,Tortuga de agua,252,13.0,33,1991/12
3057,Jannette,Pez mariposa,148,0.075,88,1935/1
3058,Fernanda,Elefante marino,35,1536.0,77,1946/4
3059,Shaneka,Antílope,59,108.0,55,1969/11
3060,Linzy,Foca,65,55.2,22,2002/11
3061,Jayvion,Tortuga de orejas rojas,60,0.34,86,1938/6
3062,Ewing,Gato,135,5.16,60,1964/8
3063,Edd,Estrella espinosa,28,0.16,55,1969/12
3064,Velvet,Coati,295,7.08,42,1982/7
3065,Demario,Orangután,34,108.0,29,1995/9
3066,Maurice,Estrella frágil,304,0.094,58,1965/2
3067,Sie,León,171,214.7,3,2021/10
3068,Bose,Cerdo,148,82.5,71,1953/11
3069,Giovanny,Gecko,306,0.138,58,1966/9
3070,Syreeta,Ciempiés gigante,49,0.067,61,1962/2
3071,Dolph,Escarabajo Hércules,96,0.051,40,1984/9
3072,Mallory,Libélula,172,0.00206,74,1949/4
3073,Marjory,Gorila,196,97.2,7,2017/11
3074,Eustace,Oso polar,236,454.5,56,1968/8
3075,Jennifer,Colibrí,125,0.00102,72,1952/8
3076,Kolby,Erizo de mar,246,0.64,49,1974/3
3077,Hassan,Wallaby,307,20.8,65,1958/3
3078,Farah,Escarabajo ciervo,253,0.0194,88,1935/2
3079,Jere,Babosa,172,0.0445,21,2002/4
3080,Ellison,Medusa,165,1.08,44,1980/6
3081,Makala,Kanguro rojo,232,74.25,100,1924/5
3082,Kunta,Escarabajo rinoceronte,107,0.028,79,1945/12
3083,Hermina,Rata,169,0.645,77,1946/4
3084,Regina,Estrella de mar,102,0.62,14,2010/11
3085,Jensen,Cangrejo de mar,302,1.43,6,2017/3
3086,Juston,Estrella frágil,84,0.133,60,1964/7
3087,Velma,Caracol de jardín,173,0.115,69,1955/12
3088,Braelyn,Morsa,207,1170.0,49,1975/10
3089,Harl,Erizo de tierra,150,0.315,21,2002/4
3090,Eliot,Conejo,83,2.1,24,2000/6
3091,Kazuko,Caracol de mar,66,0.0485,89,1935/10
3092,Gaston,Gacela,211,56.0,58,1966/6
3093,Jaquez,Antílope saiga,217,45.0,104,1920/6
3094,Shaniya,Erizo de mar,108,0.46,38,1986/11
3095,Orion,Pez payaso,153,0.0122,21,2003/9
3096,Barton,Hormiga,106,0.00096,40,1984/9
3097,Dayne,Cocodrilo,335,635.0,43,1980/3
3098,Merrilee,Tiburón blanco,210,1856.0,76,1947/2
3099,Babette,Tortuga,45,6.96,8,2016/5
3100,Josef,Foca,284,110.4,50,1974/10
3101,Georgianna,Salamandra,197,0.141,26,1997/4
3102,Amberly,Tortuga de caja,90,1.43,83,1940/1
3103,Eleanora,Pez payaso,33,0.023,96,1928/12
3104,Dominik,Gallina,276,3.125,39,1984/2
3105,Yadira,Canguro,7,56.5,43,1980/3
3106,Duwayne,Pez payaso,296,0.0162,15,2009/6
3107,Offie,Tiburón martillo,289,472.0,39,1985/8
3108,Meghan,Bisonte,54,624.0,44,1980/12
3109,Joann,Tortuga marina,220,258.0,45,1979/10
3110,Leann,Bisonte,45,424.0,89,1935/12
3111,Tilda,Elefante marino,201,1280.0,44,1979/3
3112,Winfield,Grillo,143,0.00286,55,1969/11
3113,Harvey,Tortuga de agua,47,29.5,104,1920/6
3114,Kathleen,Mosca,62,0.00012,70,1953/4
3115,Tony,Armadillo gigante,214,50.0,77,1947/8
3116,Kristin,Zorro,158,8.04,42,1982/6
3117,Alphonsus,Serpiente,278,4.62,88,1935/3
3118,Tracy,Atún,24,317.5,54,1969/4
3119,Alphons,Kanguro rojo,194,27.5,2,2022/11
3120,Jeanette,Mariposa,76,0.0075,84,1940/9
3121,Verlon,Ocelote,254,13.08,5,2019/6
3122,Janette,Manatí de tierra,337,199.5,97,1927/5
3123,Onie,Pez cirujano,17,0.26,39,1985/7
3124,Arch,Búho,132,1.41,97,1926/2
3125,Georgine,Pez mariposa,294,0.118,87,1936/4
3126,Catalina,Antílope,234,133.0,10,2014/8
3127,Franco,Pez payaso,69,0.0112,61,1963/8
3128,Jesse,Caracol de tierra,240,0.0128,0,2023/4
3129,Ozzie,Serpiente pitón,56,73.8,15,2009/11
3130,Glendon,Babosa,256,0.072,85,1938/2
3131,Katelynn,Ñandú,272,24.5,41,1983/11
3132,Kevan,Conejo,336,1.825,24,2000/12
3133,Garth,Oso polar,219,279.0,87,1937/11
3134,Tod,Tejón,100,15.72,63,1961/9
3135,Cordero,Grillo,251,0.00234,63,1961/5
3136,Jackson,Caballo,108,580.0,84,1940/12
3137,Chancy,Mariposa Morpho,183,0.0108,81,1942/3
3138,Kourtney,Pingüino,256,8.4,63,1961/10
3139,Marilynn,Carpa,280,5.84,11,2013/5
3140,Kathy,Rata,261,0.34,74,1950/11
3141,Emry,Nutria,264,4.8,67,1957/5
3142,Donal,Coati,237,3.48,2,2021/3
3143,Amin,Delfín nariz de botella,100,214.0,53,1971/9
3144,Columbus,Salmón,333,12.7,91,1933/10
3145,Davin,Pavo real,66,6.5,2,2022/10
3146,Amon,Koala,239,17.5,23,2000/4
3147,Lola,Langosta gigante,320,2.75,84,1940/7
3148,Chalmers,Morsa,284,819.0,58,1966/11
3149,Juliette,Caballo,56,675.0,74,1950/7
3150,Antwon,Pangolín,43,15.36,92,1932/12
3151,Frances,Antílope saiga,281,50.0,25,1999/9
3152,Nelly,Escorpión,256,0.065,3,2021/8
3153,Towanda,Manta,326,870.0,68,1956/12
3154,Doris,Esturión,187,30.0,31,1992/3
3155,Rondal,Carpa,309,4.08,74,1950/6
3156,Rhoda,Cerdo,339,56.1,72,1952/12
3157,Miguelangel,Tapir,171,135.0,101,1923/9
3158,Truman,Caracol de agua dulce,131,0.0228,47,1976/2
3159,Ebony,Escarabajo ciervo,151,0.0174,19,2004/3
3160,Jobe,Caballito de mar,191,0.00102,69,1955/12
3161,Renee,Estrella frágil,159,0.07,75,1949/7
3162,Chuck,Tiburón blanco,119,1056.0,84,1940/12
3163,Delmar,Langostino,108,0.268,93,1931/12
3164,Alannah,Leopardo marino,109,544.5,68,1956/12
3165,Portia,Perro,162,14.0,61,1963/11
3166,Letta,Cocodrilo de agua salada,12,1180.0,102,1921/1
3167,Agustus,Zarigüeya,38,1.515,89,1935/7
3168,Donald,Bisonte,4,728.0,74,1950/12
3169,Ashley,Lémur,269,2.98,93,1931/10
3170,Sherman,Pez ángel,245,0.36,31,1993/5
3171,Press,Avestruz,111,129.0,76,1947/1
3172,Olympia,Petauro del azúcar,143,0.204,68,1955/4
3173,Dagny,Erizo de mar,315,0.535,13,2011/9
3174,Susanna,Hormiga,255,0.00093,79,1945/10
3175,Alcie,Mariposa Morpho,299,0.0298,15,2009/11
3176,Beatrix,Petauro del azúcar,308,0.15,87,1937/9
3177,Laken,Kanguro rojo,330,69.85,47,1977/10
3178,Whitley,Estrella espinosa,41,0.126,33,1991/8
3179,Karren,Orca,169,8760.0,28,1996/12
3180,Hyrum,Ocelote,214,10.2,35,1989/11
3181,Erasmo,Coati,191,3.6,20,2004/8
3182,Jackie,Numbat,60,0.516,39,1985/11
3183,Charlottie,Ciervo almizclero,195,107.2,100,1923/3
3184,Tarik,Cangrejo de mar,96,1.19,48,1976/12
3185,Domonique,Pavo real,114,4.15,51,1972/3
3186,Rueben,Tejón,179,6.24,75,1948/3
3187,Lucille,Cerdo,51,159.5,6,2018/6
3188,Jennings,Nutria gigante,336,27.9,88,1936/10
3189,Rudolph,Caballo,28,555.0,69,1955/9
3190,Tanja,Ocelote,116,7.44,10,2014/9
3191,Tenisha,Tortuga de tierra,231,86.0,1,2023/12
3192,Jayce,Pulpo de anillos azules,101,2.68,29,1995/12
3193,Rubin,Escarabajo joya,310,0.0124,80,1944/5
3194,Monika,Ciervo,212,133.2,44,1979/3
3195,Leonel,Dingo,106,19.2,52,1972/8
3196,Jenelle,Abeja,108,0.066,20,2004/7
3197,Elmo,Estrella de mar,231,0.605,12,2012/9
3198,Nya,Oso polar,5,409.5,48,1975/4
3199,Raquel,Gacela de Thomson,255,29.1,60,1963/1
3200,Alize,Langostino,92,0.268,84,1939/1
3201,Alferd,Pez cirujano,80,0.635,26,1997/1
3202,Ishaan,Ciervo de cola blanca,7,110.0,50,1974/5
3203,Cassondra,Gamba,1,0.0198,38,1985/1
3204,Tina,Aye-aye,287,2.72,66,1958/11
3205,Claude,León,50,209.0,101,1923/8
3206,Anjelica,Hipopótamo,283,2175.0,101,1923/10
3207,Vernelle,Escarabajo joya,120,0.0136,77,1947/5
3208,Etta,Anguila,314,2.85,26,1997/3
3209,Benedict,Zorro,117,3.84,23,2001/7
3210,Sherita,Piraña,34,1.07,78,1945/4
3211,Constantine,Zorro,68,6.18,11,2012/4
3212,Kyrie,Saltamontes,324,0.00082,80,1943/4
3213,Rosamond,Colibrí,114,0.0015,80,1944/6
3214,North,Escarabajo rinoceronte,299,0.097,27,1997/6
3215,Theta,Carpa,187,5.24,1,2023/5
3216,Ansel,Tiburón blanco,254,1664.0,91,1933/11
3217,Artis,Araña,124,0.00156,78,1946/8
3218,Rosina,Tarántula Goliat,22,0.284,98,1926/5
3219,Karyme,Morsa,213,963.0,25,1999/9
3220,Flor,Águila calva,175,3.12,71,1953/8
3221,Latrell,Koala,23,15.82,43,1981/11
3222,Krystle,Oso negro,229,158.4,100,1924/9
3223,Shakira,Pingüino,199,14.7,80,1944/7
3224,Chasity,Búho,291,0.71,69,1955/11
3225,Javonte,Mantarraya,300,1240.0,54,1969/1
3226,Deegan,Pez gato,74,2.84,74,1949/3
3227,Barney,Rata,1,0.655,89,1935/6
3228,Raelynn,Erizo de tierra,23,0.395,90,1934/5
3229,Bryn,Antílope saiga,79,75.0,96,1928/7
3230,Nathanial,Delfín nariz de botella,198,204.0,102,1922/10
3231,Geneva,Elefante,183,5700.0,49,1975/8
3232,Encarnacion,Erizo de mar,73,0.445,13,2010/4
3233,Ned,Armadillo,340,6.56,56,1967/4
3234,Kathi,Serpiente pitón,91,37.8,25,1999/9
3235,Christena,Estrella frágil,239,0.099,16,2007/3
3236,Lilia,Anguila,94,6.55,28,1996/8
3237,Donaciano,Pez león,69,0.93,39,1985/11
3238,Carmelita,Búho,222,0.66,79,1945/11
3239,Marlin,Estrella frágil,150,0.051,76,1947/1
3240,Daisey,Escarabajo,322,0.018,57,1967/9
3241,Jillian,Nutria marina,120,52.65,25,1999/11
3242,Tayla,Pez globo,115,0.64,11,2013/11
3243,Loma,Caracol de mar,198,0.055,40,1984/6
3244,Karyl,Murciélago,105,0.0444,82,1942/6
3245,Ura,Caracol de agua dulce,142,0.0321,21,2003/8
3246,Aracely,Ñeque,98,92.4,57,1967/8
3247,Roger,Cabra,28,31.05,4,2020/9
3248,Corie,Pulpo de anillos azules,110,2.52,93,1931/7
3249,Ivie,Iguana,147,5.0,44,1980/7
3250,Oliver,Mosquito,243,0.0,35,1989/10
3251,Kailee,Canario,156,0.011,18,2005/1
3252,Pollie,Cebra,237,486.0,82,1942/12
3253,Malaki,Tigre,300,259.6,18,2006/9
3254,Colvin,Mariposa monarca,239,0.00272,25,1998/1
3255,Aili,Langosta,45,0.505,34,1990/12
3256,Erastus,Ballena piloto,206,7440.0,66,1958/6
3257,Leamon,Mariposa,167,0.0086,12,2011/1
3258,Pearley,Erizo de tierra,98,0.5,102,1922/12
3259,Prince,Babosa,223,0.07,48,1976/6
3260,Armida,Piraña,257,0.95,11,2013/12
3261,Finn,Castor,169,21.25,28,1996/11
3262,Oneida,Medusa,99,0.63,76,1948/9
3263,Joelle,Canguro,89,44.0,11,2013/12
3264,Audrianna,Araña cangrejo,56,0.0176,36,1988/5
3265,Javonte,Canguro,239,67.0,13,2011/10
3266,Stephenie,Manta,180,720.0,88,1936/9
3267,Sharday,Ñu,252,60.0,3,2021/9
3268,Augustine,Iguana,44,2.8,40,1984/12
3269,Donaciano,Wallaby,76,19.2,82,1942/11
3270,Tavian,Kanguro rojo,130,75.35,66,1958/6
3271,Farrah,Jirafa,63,1596.0,40,1983/4
3272,Lavelle,Suricata,202,2.04,91,1933/5
3273,Adelle,Estrella frágil,237,0.137,9,2015/10
3274,Dema,Cangrejo yeti,61,6.6,3,2020/3
3275,Caroline,Mantarraya,234,870.0,5,2018/2
3276,Norman,Hormiga reina,23,0.00085,36,1988/10
3277,Sherryl,Tarántula,138,0.298,82,1941/3
3278,Stephenie,Piraña,321,1.47,33,1990/3
3279,Augustus,Cocodrilo de agua salada,204,920.0,95,1929/6
3280,Elaine,Koala,151,14.14,19,2005/11
3281,Lisle,Cocodrilo de agua salada,139,650.0,6,2017/3
3282,Rickie,Oso polar,324,522.0,28,1996/8
3283,Mearl,Pez mariposa,159,0.13,99,1925/5
3284,Sherryl,Estrella de mar,21,0.19,31,1993/7
